title,content,source,category,priority,url,image_url,video_url,date,author,language,real_summary
"רעידת אדמה 4.2: הבניינים רועדים, הפוליטיקאים לא","מומחים: 'הרעידה הייתה פחות הרסנית מהדיון האחרון בכנסת'. תושבים דיווחו שהרגישו יציבות רבה יותר בזמן הרעידה מאשר בזמן צפייה בחדשות","וואלה! סאטירה",חדשות,10,https://www.ynet.co.il,https://images.unsplash.com/photo-1555861496-0666c8981751?w=1920&h=1080,,2024-01-15,יוסי ציניקן,he,"רעידת אדמה בעוצמה 4.2 הורגשה הבוקר בצפון הארץ. אין דיווחים על נפגעים או נזקים"
"משרד האוצר: 'המצב הכלכלי מצוין' - האזרחים: 'גם לנו יש חוש הומור'","שר האוצר הכריז שהכלכלה פורחת. בינתיים, האזרחים מחפשים את הפרחים מתחת לחשבונות החשמל","כלכליסט צוחק",כלכלה,9,https://www.calcalist.co.il,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=1920&h=1080,,2024-01-15,דנה כספית,he,"משרד האוצר פרסם דוח כלכלי המצביע על צמיחה של 3.5% ברבעון האחרון"
"בלעדי: נהגי אוטובוס מאיימים לנהוג בנימוס","ההסתדרות: 'זה צעד קיצוני מדי'. הנוסעים בהלם: 'אנחנו לא מוכנים לשינוי כזה'","רוטר בדיחות",תחבורה,8,https://rotter.net,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=1920&h=1080,,2024-01-15,משה תחבורני,he,"נהגי האוטובוסים בירושלים פתחו בשביתת האטה במחאה על תנאי העבודה"
"צה״ל מכחיש: 'לא איבדנו טנק, הוא פשוט יצא לחופשה'","דובר צה״ל: 'הטנק החליט שהוא צריך break. גם לכלי רכב משוריינים מגיע זמן איכות'","במחנה הקומי",ביטחון,10,https://www.idf.il,https://images.unsplash.com/photo-1567450776212-6ca9e9820d8e?w=1920&h=1080,,2024-01-15,גל צהלול,he,"צה״ל השלים תרגיל גדול בצפון הארץ בהשתתפות כוחות שריון וחיל האוויר"
"מזג האוויר: גשם צפוי - הממשלה מבטיחה מטריות","השר להגנת הסביבה: 'אנחנו שוקלים להעביר חוק שיאסור על גשם בימי עבודה'","חדשות סרקסטיות",מזג אוויר,7,https://www.ims.gov.il,https://images.unsplash.com/photo-1428592953211-077101b2021b?w=1920&h=1080,,2024-01-15,ענן גשום,he,"גשם כבד צפוי להגיע לישראל בסוף השבוע. התרעות שיטפונות באזורים נמוכים"
"הייטק ישראלי: סטארטאפ גייס 100 מיליון דולר למוצר שעוד לא קיים","המשקיעים: 'אנחנו מאמינים בחזון'. החברה: 'גם אנחנו מנסים להבין מה החזון'","גיקטיים",טכנולוגיה,9,https://www.geektime.co.il,https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=1920&h=1080,,2024-01-15,רון בועה,he,"חברת סייבר ישראלית גייסה 100 מיליון דולר בסבב גיוס בהובלת קרן אמריקאית"
"ראש הממשלה: 'הכל בשליטה' - האזרחים מחפשים את השלט","סקר חדש: 87% מהישראלים חושבים שהשלט של המזגן יותר אמין מהממשלה","מעריב צוחק",פוליטיקה,10,https://www.maariv.co.il,https://images.unsplash.com/photo-1529107386315-e1a2ed48a620?w=1920&h=1080,,2024-01-15,אבי פוליטיקאי,he,"ראש הממשלה נשא נאום בכנסת וקרא לאחדות לאומית בתקופה מאתגרת"
"תל אביב: חניה חינם למי שיוכיח שהוא לא מתל אביב","ראש העיר: 'אנחנו רוצים לעודד גיוון'. תושבי העיר: 'אבל אנחנו באמת לא מכאן, אנחנו רק גרים פה 20 שנה'","תל אביב הא!",עירוני,6,https://www.tel-aviv.gov.il,https://images.unsplash.com/photo-1500990702037-7620ccb6a60a?w=1920&h=1080,,2024-01-15,רון תל אביבי,he,"עיריית תל אביב הכריזה על תוכנית חדשה להקלות בחניה במרכז העיר"
"משרד הבריאות: 'אכילת שוקולד זה בריא' - רופאי שיניים במחאה","איגוד רופאי השיניים: 'זה קונספירציה של תעשיית הממתקים'. ילדים ברחבי הארץ חוגגים","בריאות בצחוק",בריאות,7,https://www.health.gov.il,https://images.unsplash.com/photo-1481391319762-47dff72954d9?w=1920&h=1080,,2024-01-15,ד״ר מתוק,he,"מחקר חדש מצא יתרונות בריאותיים בצריכה מתונה של שוקולד מריר"
"בית המשפט: 'צדק נעשה' - הצדק: 'אני לא הייתי שם'","השופטים הבהירו שהצדק היה בחופשה באיים הקריביים בזמן ההחלטה","משפט וסדר קומי",משפט,8,https://www.court.gov.il,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=1920&h=1080,,2024-01-15,עו״ד צחוק,he,"בית המשפט העליון פסק בתיק עקרוני בנושא חופש הביטוי ברשתות החברתיות"
"מכבי ת״א: 'ניצחנו בכבוד' - הקבוצה הפסידה 5-0","המאמן: 'הראינו אופי'. האוהדים: 'כן, אופי של מפסידים'","ספורט צהוב",ספורט,7,https://www.sport5.co.il,https://images.unsplash.com/photo-1522778119026-d647f0596c20?w=1920&h=1080,,2024-01-15,כדורגלן נכשל,he,"מכבי תל אביב הפסידה 2-1 להפועל באר שבע במשחק ליגת העל"
"פקקי תנועה: 'זה לא פקק, זו חניה זמנית'","נהגים בכביש 1: 'אנחנו כבר גרים פה. שלחו דואר לרכב'","תחבורה קומית",תחבורה,6,https://www.waze.com,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=1920&h=1080,,2024-01-15,נהג תקוע,he,"פקקי ענק בכביש החוף עקב עבודות תשתית. זמן הנסיעה מוכפל"
