title,content,source,category,priority,url,image_url,video_url,date,author,language,real_summary
"רעידת אדמה 4.2: הבניינים רועדים, הפוליטיקאים לא","מומחים: 'הרעידה הייתה פחות הרסנית מהדיון האחרון בכנסת'","וואלה! סאטירה",חדשות,10,https://www.ynet.co.il,https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/01/15/rkJD9vK3T/rkJD9vK3T_0_0_1000_667_0_large.jpg,,2024-01-15,יוסי ציניקן,he,"רעידת אדמה בעוצמה 4.2 הורגשה בצפון"
"משרד האוצר: 'הכלכלה פורחת' - אזרחים: 'איפה?'","שר האוצר בטוח שהכל טוב. האזרחים בטוחים שהוא גר במדינה אחרת","כלכליסט צוחק",כלכלה,9,https://www.calcalist.co.il,https://images.calcalist.co.il/Pics/612/v/r/k/z/4/1280/a.jpg,,2024-01-15,דנה כספית,he,"צמיחה של 3.5% ברבעון האחרון"
"נהגי אוטובוס: 'ננהג בנימוס'","הנוסעים בהלם: 'זו הפיכה!'","רוטר",תחבורה,8,,https://cdn.pixabay.com/photo/2016/11/29/01/17/bus-1866509_1280.jpg,,2024-01-15,משה תחבורני,he,"שביתת האטה של נהגים בירושלים"
"טנק נעלם - צה״ל: 'הוא בחופשה'","דובר צה״ל: 'גם טנקים צריכים break'","צבא קומי",ביטחון,10,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Merkava-Mk4-pic001.jpg,,2024-01-15,גל צהלול,he,"תרגיל צבאי בצפון"
"גשם בדרך - הממשלה: 'נחלק מטריות'","משרד הפנים: 'מטריה לכל אזרח עד 2030'","מזג קומי",מזג אוויר,7,,https://cdn.pixabay.com/photo/2014/02/27/16/09/rain-275977_1280.jpg,,2024-01-15,ענן גשום,he,"התרעת שיטפונות לסוף השבוע"
"סטארטאפ גייס 100M$ - אין מוצר","המשקיעים: 'אנחנו מאמינים'. החברה: 'במה?'","גיקטיים",טכנולוגיה,9,,https://cdn.pixabay.com/photo/2016/11/19/14/00/code-1839406_1280.jpg,,2024-01-15,רון בועה,he,"חברת סייבר גייסה 100 מיליון דולר"
"הכל בשליטה - אזרחים: 'של מי?'","87% מהישראלים מעדיפים את השלט של המזגן","פוליטי צוחק",פוליטיקה,10,,https://cdn.pixabay.com/photo/2016/11/29/13/45/knesset-1869889_1280.jpg,,2024-01-15,אבי פוליטיקאי,he,"נאום ראש הממשלה בכנסת"
"ת״א: חניה חינם למי שלא מת״א","תושבים: 'אבל אנחנו גרים פה 20 שנה!'","עירוני קומי",עירוני,6,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Tel_Aviv_Skyline.jpg,,2024-01-15,רון תל אביבי,he,"תוכנית חניה חדשה בתל אביב"
"שוקולד בריא - רופאי שיניים זועמים","משרד הבריאות: 'שוקולד = ירק'","בריאות משעשעת",בריאות,7,,https://cdn.pixabay.com/photo/2013/09/18/18/24/chocolate-183543_1280.jpg,,2024-01-15,ד״ר מתוק,he,"מחקר על יתרונות שוקולד מריר"
"צדק נעשה - הצדק: 'לא הייתי שם'","השופטים: 'הצדק היה בחופשה'","משפט קומי",משפט,8,,https://cdn.pixabay.com/photo/2017/07/10/23/49/justice-2492008_1280.jpg,,2024-01-15,עו״ד צחוק,he,"פסיקת בית המשפט העליון"
"מכבי ת״א ניצחה - אוהדים: 'מתי?'","המאמן: 'ניצחון מוסרי'. התוצאה: 0-5","ספורט סאטירי",ספורט,7,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Bloomfield_stadium.JPG,,2024-01-15,כדורגלן נכשל,he,"מכבי הפסידה 2-1 להפועל"
"פקק בכביש 1 - נהגים: 'זה הבית שלנו'","משפחות העבירו כתובת לרכב","תחבורה משעשעת",תחבורה,6,,https://cdn.pixabay.com/photo/2019/06/27/07/16/traffic-jam-4301767_1280.jpg,,2024-01-15,נהג תקוע,he,"פקקי ענק בכביש החוף"
"קפה ב-20 ש״ח - 'זה בסדר'","ישראלים: 'פעם קנינו בזה ארוחה'","צרכנות קומית",כלכלה,8,,https://cdn.pixabay.com/photo/2017/08/07/22/57/coffee-2608864_1280.jpg,,2024-01-15,קפאי יקר,he,"עליית מחירי הקפה ב-15%"
"WiFi ציבורי - עובד דקה בשבוע","עיריית ת״א: 'זה יותר מהמצופה'","טכנולוגיה עירונית",טכנולוגיה,5,,https://cdn.pixabay.com/photo/2016/06/03/13/57/wifi-1433408_1280.jpg,,2024-01-15,טכנאי עייף,he,"בעיות ברשת האלחוטית העירונית"
"חינוך: 'הבגרויות קלות' - תלמידים: 'אז למה נכשלנו?'","משרד החינוך: 'הורדנו את הרף לרצפה'","חינוך משעשע",חינוך,8,,https://cdn.pixabay.com/photo/2015/07/31/11/45/library-869061_1280.jpg,,2024-01-15,מורה עייף,he,"אחוזי הצלחה נמוכים בבגרויות"
